consent,work_status,ai_use_work,work_feels_central,ai_question_value,purpose_despite_ai,control_over_ai_use,fair_credit_with_ai,open_about_ai_concerns,ai_obsolete_worry,upskilling_for_ai,belonging_changed_ai,ai_increased_pace,ai_increased_availability,ai_stigma,ai_alignment_ethics,values_alignment,work_clarity,emotional_energy,trust_information_work,feels_true_today,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh_rested,wellbeing_interested,open_identity_change,open_ai_improvement,attention_check,industry,role_seniority,org_size,work_hours,ai_task_percentage,role_tenure,age_group,country,gender,industry_other,role_seniority_other
yes,employed_full_time,yes_weekly,4,5,5,1,3,5,3,5,4,5,5,5,3,5,4,2,5,people_understand_better,2,2,3,1,1,it makes it seem a bit worthless in the grand scheme of things,less of a big presence,pass,hospitality_food_tourism,manager_team_leader,5000_or_more,40_49,1_10,6_11_months,18_24,uk,woman,,
yes,employed_full_time,yes_occasionally,5,3,6,6,6,6,2,4,2,3,2,3,4,8,9,8,9,people_understand_better,5,5,4,4,4,it has not changed me,none,pass,transport_logistics_warehousing,intermediate_experienced,1000_4999,40_49,1_10,more_than_10_years,55_65,uk,man,,
yes,employed_full_time,yes_weekly,4,1,3,5,4,6,1,3,4,1,1,2,2,5,5,7,5,people_understand_better,3,3,2,1,2,"It hs not changed my sense of how i see myself at all as i do not depend on AI, I only use it as and when needed",unsure,pass,mining_energy_utilities,intermediate_experienced,10_49,30_39,1_10,more_than_10_years,55_65,uk,woman,,
yes,employed_full_time,yes_daily,5,1,6,7,4,5,3,7,4,5,3,1,7,8,10,7,8,people_understand_better,3,4,3,3,3,"It has brought me more options regarding word choices in the aspect of writing emails, as English is not my first language and I have little experience dealing with formal email writing. AI has helped me to become a more professional employee.",It can do so by generating answers with personalized habits and word choices according to the previous memory.,pass,information_technology_software,intermediate_experienced,10_49,30_39,11_25,1_2_years,18_24,ca,man,,
yes,employed_full_time,yes_occasionally,4,2,5,6,4,4,2,6,6,4,4,2,5,7,8,7,8,people_understand_better,4,3,4,3,3,It has helped me sound better in emails I have it help me write.,Better grammar in emails,pass,retail_sales_consumer_services,intermediate_experienced,1000_4999,40_49,11_25,6_10_years,25_34,us,woman,,
yes,employed_part_time,yes_weekly,5,2,6,7,6,7,1,5,4,4,2,5,4,8,8,5,5,people_understand_better,1,1,3,1,1,Not at all,Nothing,pass,other,intermediate_experienced,1000_4999,20_29,1_10,3_5_years,35_44,uk,woman,Defence & Emergency Services,
yes,employed_full_time,no_never,4,3,5,1,1,1,4,3,4,4,3,1,1,6,8,6,7,people_understand_better,4,3,4,3,4,It hasn't affected me yet but in a different store they have replaced some of the people with touch screens so that worries me they will do that to us.,I really don't know enough about AI to say,pass,retail_sales_consumer_services,intermediate_experienced,5000_or_more,30_39,0_none,1_2_years,35_44,uk,woman,,
yes,employed_full_time,yes_weekly,5,4,4,4,5,4,4,6,4,6,4,7,3,6,5,9,6,people_understand_better,4,3,4,3,4,I think I feel less prideful about my work and feel like less of my work is my own accomplishment.,I think using more of my own intelligence and problem solving would help.,pass,information_technology_software,manager_team_leader,250_999,30_39,11_25,3_5_years,18_24,ca,man,,
yes,employed_full_time,yes_daily,7,1,7,7,7,7,1,6,7,7,1,1,7,10,10,9,10,people_understand_better,4,4,5,5,5,I am still the same person I always was. AI is simply a tool we adopted at work to help make our lives easier by getting it to perform tasks we would have had to do manually.,"If AI could better understand my unique strengths, goals, and communication style, it would help me feel more authentically represented in my work. Personalized AI support would strengthen my sense of purpose by aligning tasks and feedback with what truly motivates me.",pass,hospitality_food_tourism,director_executive,250_999,40_49,26_50,more_than_10_years,55_65,ca,man,,
yes,employed_full_time,no_never,5,6,2,2,1,5,7,5,4,4,5,4,5,3,2,3,6,people_understand_better,2,1,2,1,3,AI has not changed my sense of who I am at work.,AI could help me pick out the correct parts to install and make sure they fit the trim level selected. (I work in an automotive assembly plant),pass,manufacturing_production,entry_level,5000_or_more,40_49,0_none,3_5_years,25_34,ca,man,,
yes,employed_full_time,yes_daily,5,5,7,6,5,7,5,5,3,2,2,3,5,10,10,8,7,people_understand_better,4,4,3,2,4,It has just made me more efficient and able to save time on mundane tasks so I can spend more time on the things that matter (something that can't be replaced with AI),"I think that now if I do a fancy report or analysis and just use my brain and not AI, people think I have used AI anyway so it takes away from the recognition, but I don't know how you would change that",pass,nonprofit_community_charity_work,intermediate_experienced,50_249,30_39,11_25,3_5_years,35_44,uk,man,,
yes,self_employed_freelance,no_never,7,5,7,1,4,7,7,2,4,7,2,4,3,10,10,7,10,people_understand_better,3,2,3,2,4,"I feel like I'm more disposable, at least in one of my jobs. Most of my work in that job has been farmed out to AI now, leaving me with scraps. I feel like my skills don't matter.","I would love if it were used to help us do our jobs better, not replace us completely.",pass,other,intermediate_experienced,just_me,30_39,0_none,6_10_years,35_44,ca,woman,"I have a couple jobs. I am an actor, but I also do transcription work.",
yes,employed_part_time,yes_occasionally,5,2,5,5,4,6,1,5,2,1,2,1,4,8,6,6,6,people_understand_better,4,4,4,3,4,"It has not, it really plays no role in what I do for work.","It can't, my AI is not going to help in what I do, it is ok for general help.",pass,health_social_care,intermediate_experienced,5000_or_more,20_29,1_10,more_than_10_years,55_65,uk,man,,
yes,employed_full_time,yes_weekly,4,3,5,5,5,3,4,4,2,5,3,5,5,3,6,3,6,depends_same,2,2,3,2,2,"It has not changed, I feel AI is still a work in progress and has many limitations, it could potentially be a good assistant but for now it's producing inaccurate, outdated, and inconsistent responses frequently, so I can't really depend on it. It still requires me to double check or verify it's work.",I'm not really sure but I guess AI would really need to improve on accuracy for me to really depend on it to improve efficiency.,pass,professional_scientific_technical_services,intermediate_experienced,50_249,40_49,1_10,3_5_years,35_44,ca,woman,,
yes,employed_full_time,yes_weekly,4,2,4,6,5,6,3,4,4,4,3,2,4,7,9,5,8,people_understand_better,4,4,4,3,5,"It's not changed me as a person, I see it as an external tool to help.",Can't think of anything specific.,pass,health_social_care,senior_specialist,2_9,20_29,11_25,3_5_years,25_34,uk,woman,,
yes,employed_full_time,yes_occasionally,5,2,3,6,6,6,4,5,1,1,1,2,2,6,8,8,8,people_understand_better,3,3,4,2,2,"It did not in any way as I do not really use it that much, it's only been use to do basic thing in email or be a little more production",Answer quicker to email and looks more professional,pass,transport_logistics_warehousing,senior_specialist,50_249,40_49,1_10,3_5_years,25_34,ca,man,,
yes,employed_full_time,yes_daily,5,5,6,6,6,6,3,2,5,6,1,6,5,7,6,3,8,people_understand_better,4,4,3,2,4,"I don't think it has, it just makes my day easier",If i could use it more i would,pass,finance_banking_insurance,entry_level,1000_4999,30_39,11_25,3_5_years,35_44,uk,woman,,
yes,employed_full_time,yes_daily,5,3,6,4,6,6,2,6,2,4,3,2,5,7,9,7,9,people_understand_better,3,4,3,3,4,"â¡ it has made me realise that it is okay to need help and assistance even if it is from ai tools, that if i have too much work load or am struggling with a task, i can use ai to help me, as long as i use it in a moral and ethical manner. it has made me be more kinder to myself without being hard on my skills or thinking that i am incapable â¡","â¡ be more personalised to me and help me understand my own skill sets better, help me look at my strengths and weaknesses and provide me with tips on how i can improve them.",pass,hospitality_food_tourism,manager_team_leader,50_249,30_39,11_25,3_5_years,25_34,uk,woman,,
yes,employed_full_time,yes_daily,4,4,6,7,7,7,5,5,1,4,1,1,5,9,9,8,8,people_understand_better,5,5,3,3,5,It had empowers my writing as a dyslexic person. It had enhanced my technical writing skills but also meant they conform to a norm.,more enhancement of my writing,pass,education_training,intermediate_experienced,5000_or_more,30_39,1_10,3_5_years,25_34,uk,woman,,
yes,employed_full_time,no_never,6,1,6,6,4,4,1,6,1,1,4,1,5,8,8,9,8,people_understand_better,4,4,4,4,4,it has not its just a useful tool,if they would allow us to use it at work,pass,manufacturing_production,entry_level,250_999,40_49,1_10,more_than_10_years,55_65,us,woman,,
yes,employed_full_time,yes_occasionally,6,3,6,6,5,5,3,5,1,3,3,3,5,8,8,4,8,people_understand_better,5,5,4,4,4,"It has streamlined monotonous and less important task completion, increasing work satisfaction somewhat.",Helping to create a perfect work schedule based on my habits,pass,construction_trades,intermediate_experienced,2_9,40_49,1_10,6_10_years,25_34,uk,man,,
yes,employed_full_time,yes_daily,6,4,4,5,6,5,5,4,2,4,5,3,6,8,8,8,6,people_understand_better,4,5,4,4,5,Not changed,nothing,pass,transport_logistics_warehousing,senior_specialist,250_999,30_39,51_75,6_10_years,55_65,uk,man,,
yes,employed_full_time,yes_daily,6,2,6,4,3,3,7,6,7,6,6,1,6,8,8,6,5,people_understand_better,3,3,1,1,4,"I can incorporate AI effectively at work by using the tools for enhancement and not replacement. I feel much more confident utilizing creative ideas and suggestions from AI to produce a better output. However, I am wary of feedback and other work products since it is difficult to ascertain how much is AI-generated vs. human-generated.",An indicator for any product that shows what percentage is from AI vs. human input.,pass,information_technology_software,manager_team_leader,50_249,40_49,11_25,1_2_years,35_44,us,woman,,
yes,employed_full_time,yes_weekly,5,2,5,6,5,5,1,6,4,4,2,1,4,5,6,2,8,people_understand_better,1,3,1,1,1,It has been interesting as we have been exploring how AI can help us in our day to day activities. It is apparent that there will be a lot to learn for us to keep up with developments.,Better training and understanding.,pass,information_technology_software,director_executive,50_249,30_39,1_10,6_10_years,55_65,uk,man,,
yes,employed_part_time,no_never,1,7,1,4,4,4,7,1,7,1,7,7,1,2,2,3,4,people_understand_better,1,1,1,1,1,"It has destroyed my career and I hate it. Went from FT 6 figure copywriting job to less than 10K a year with very few clients left. We can't use AI, but many clients left and use it now instead of human writers.","nothing, I absolutely despise it",pass,media_arts_entertainment,other,5000_or_more,10_19,0_none,more_than_10_years,55_65,us,woman,,"Close to retirement, very part-time thanks to AI"
yes,employed_full_time,yes_daily,7,1,7,7,7,7,1,7,1,7,1,1,7,10,10,10,10,depends_same,5,5,5,5,5,It hasn't changed my sense. I use it as a tool,More reliable data,pass,health_social_care,manager_team_leader,10_49,40_49,11_25,6_10_years,35_44,uk,man,,
yes,employed_full_time,yes_daily,5,6,6,5,7,7,3,5,7,3,6,6,5,8,6,9,6,depends_same,3,4,5,4,4,I feel like i collaborate and explore data more,Maybe have more human vetting.,pass,retail_sales_consumer_services,manager_team_leader,1000_4999,40_49,51_75,more_than_10_years,25_34,uk,woman,,
yes,self_employed_freelance,no_never,7,1,7,7,7,4,5,6,4,6,7,6,4,10,10,8,10,people_understand_better,3,4,2,3,4,"With the increase of using AI in the sector I work by some, I have gained a stronger sense of who I am at work and what matters within the work I am doing. It has given me a stronger voice and a stronger dedication to carry on with doing the work I do, even though the increasing use of AI could potentially be seen as a threat to it. I stand defiant.","It would give me a stronger identity and purpose at work, and give me a greater sense of commitment to my work.",pass,other,owner_founder,just_me,40_49,0_none,more_than_10_years,45_54,uk,woman,Visual Arts & Education,
yes,employed_full_time,yes_weekly,6,2,7,7,6,7,1,6,4,3,2,3,5,9,10,8,8,people_understand_better,4,4,4,3,5,No I don't think so,Just by making me more efficient,pass,health_social_care,manager_team_leader,250_999,30_39,11_25,3_5_years,25_34,uk,woman,,
yes,employed_part_time,no_never,5,1,6,7,5,7,3,3,6,2,2,1,4,8,9,9,9,people_understand_better,4,4,4,4,4,it hasnt changed anything so far,taking into consideration me as a person,pass,government_public_administration,intermediate_experienced,5000_or_more,10_19,0_none,more_than_10_years,55_65,uk,woman,,
yes,employed_full_time,yes_occasionally,1,2,3,6,6,7,5,3,1,1,1,1,4,8,9,7,9,people_understand_better,4,5,4,4,3,It hasn't changed at all but there is always the worry that it will start becoming more powerful and take over certain jobs,I cannot think of a change that AI could do to improve my identity,pass,education_training,manager_team_leader,1000_4999,30_39,1_10,6_10_years,35_44,uk,man,,
yes,employed_full_time,yes_weekly,1,1,1,6,4,5,1,5,1,1,1,1,7,5,9,9,9,people_understand_better,4,4,4,4,4,absolutely not at all,none,pass,transport_logistics_warehousing,manager_team_leader,10_49,40_49,11_25,more_than_10_years,55_65,us,man,,
yes,self_employed_freelance,yes_daily,5,4,6,6,5,5,3,7,3,4,3,6,5,7,8,6,7,people_understand_better,4,3,3,1,4,It has expedited many of my tasks and allowed me to take over certain tasks that I might have to outsource. A net positive when harnessed.,"Speed, efficiency.",pass,marketing_advertising_communications,owner_founder,just_me,20_29,11_25,more_than_10_years,35_44,ca,man,,
yes,employed_full_time,yes_weekly,1,6,2,1,3,2,7,7,6,5,5,3,2,3,3,4,3,people_understand_better,2,3,2,2,3,It makes me feel replaceable.,Not sure,pass,retail_sales_consumer_services,entry_level,1000_4999,30_39,11_25,1_2_years,18_24,uk,woman,,
yes,employed_full_time,yes_occasionally,5,4,5,4,5,5,3,5,1,5,3,4,1,5,8,4,7,people_understand_better,2,1,3,2,4,AI has not changed my sense of who I am at work. I don't see how it would.,I can't think of one.,pass,manufacturing_production,manager_team_leader,250_999,30_39,1_10,6_10_years,35_44,ca,woman,,
yes,employed_full_time,yes_daily,5,1,6,7,7,7,2,7,1,3,1,1,6,8,10,5,10,people_understand_better,4,5,2,4,5,"It hasn't changed my sense of self, but I am motivated to keep learning about it so that I don't become replaceable.",Complete automation of all monotonous tasks,pass,finance_banking_insurance,manager_team_leader,250_999,40_49,26_50,6_10_years,35_44,us,man,,
yes,employed_full_time,yes_weekly,6,2,6,6,6,6,4,6,2,4,3,2,6,8,8,7,9,people_understand_better,3,4,2,2,2,It has actually made me feel my job could become easier. I dont think you can replace people in some jobs,collaboration,pass,health_social_care,manager_team_leader,250_999,40_49,1_10,more_than_10_years,45_54,uk,woman,,
yes,employed_full_time,yes_weekly,6,2,6,6,6,7,1,5,1,4,5,1,2,8,8,7,9,people_understand_better,4,4,4,2,3,I think it allows a creative freedom and the chance to push limits a little on new ideas,Clear distinction between me and AI for who produces which parts of work,pass,education_training,director_executive,50_249,50_or_more,11_25,1_2_years,35_44,uk,man,,
yes,employed_full_time,no_never,5,1,6,7,5,7,2,1,1,1,1,2,1,6,6,2,7,people_understand_better,4,3,3,4,1,AI has not changed my sense of who I am.,Not using it at all.,pass,government_public_administration,intermediate_experienced,250_999,40_49,0_none,6_11_months,25_34,us,man,,
yes,self_employed_freelance,yes_daily,4,3,5,6,4,4,2,5,4,6,6,5,6,2,2,0,5,ai_understands_better,1,1,2,1,1,"It has not changed my sense of self. It just has greatly increased what I am capable of understanding and doing, in a way I have never seen before.","I do not think it will change my identity or purpose, it will only make me more productive I ways I was not capable of before.",pass,other,other,just_me,10_19,26_50,more_than_10_years,45_54,uk,man,E-commerce,Freelancer
yes,employed_full_time,yes_weekly,6,2,6,7,6,7,1,4,1,1,1,1,6,8,8,10,7,people_understand_better,5,4,4,5,5,"It hasn't, I see AI as an Aid and nothing more.",Using it to identify new customers in our market.,pass,manufacturing_production,manager_team_leader,250_999,40_49,1_10,1_2_years,25_34,uk,man,,
yes,employed_full_time,yes_daily,4,5,5,5,4,5,6,4,6,5,5,5,6,7,7,2,6,people_understand_better,4,4,4,4,3,It has made me more efficicent and thus more confident in my ability to deliver results in a timely fashion and backe dup by data,A change to show that human impact is still needed to bolster my credibility in using these tools,pass,media_arts_entertainment,manager_team_leader,1000_4999,40_49,26_50,1_2_years,25_34,uk,woman,,
yes,employed_full_time,yes_daily,6,7,6,7,6,6,7,6,7,6,7,6,7,9,10,9,10,ai_understands_better,4,4,4,4,5,It changed me to trust AI a lot more,Nothing i think its great,pass,retail_sales_consumer_services,intermediate_experienced,10_49,30_39,51_75,6_10_years,25_34,uk,man,,
yes,employed_part_time,yes_occasionally,5,1,7,7,6,7,1,4,1,2,1,4,6,6,9,5,8,people_understand_better,4,4,2,1,3,I don't think it has. My main role is very much person based. AI is used to assist with planning and suggestions but I still deliver it in person.,I don't think it could.,pass,education_training,intermediate_experienced,10_49,20_29,1_10,more_than_10_years,45_54,uk,woman,,
yes,employed_full_time,yes_daily,3,1,5,7,7,5,3,5,1,3,1,3,5,7,6,6,6,depends_same,4,4,3,3,3,It hasn't. I have enjoyed using AI to do work faster and be more productive. I actually have more spare time now at work thanks to AI helping me finish mundane tasks faster. I don't get anymore work than what is assigned so this frees up my time.,If AI continued to advance so that I can get it to do more work for me. I'm pretty sure I can automate some of my work so that I free up time at work to do personal things. I work remotely so as long as I get my work done there is no extra work and everyone is happy.,pass,finance_banking_insurance,senior_specialist,5000_or_more,30_39,11_25,3_5_years,35_44,us,man,,
yes,employed_full_time,yes_daily,6,2,6,7,6,6,1,5,2,5,3,4,6,9,9,7,9,depends_same,4,3,3,3,4,"Not really. It has added some different nuances, but not changed me.",If I didn't have to audit the results AI produces.,pass,information_technology_software,manager_team_leader,5000_or_more,50_or_more,11_25,3_5_years,45_54,us,man,,
yes,employed_part_time,yes_weekly,4,4,3,5,4,4,3,5,3,4,4,3,4,5,5,3,5,people_understand_better,4,4,4,3,4,,recognised as user,pass,education_training,manager_team_leader,50_249,20_29,11_25,more_than_10_years,45_54,uk,woman,,
yes,employed_full_time,yes_weekly,6,2,6,6,5,5,5,3,2,2,2,3,5,9,9,8,8,people_understand_better,5,4,4,4,5,I don't think it has changed my sense of who I am. I am using AI as a tool to help with my workload but I am still in control of my work product and how my work is completed.,"No change needed, I use AI only minimally at the moment, with most of the input from myself.",pass,government_public_administration,manager_team_leader,5000_or_more,30_39,1_10,more_than_10_years,55_65,uk,woman,,
yes,employed_full_time,yes_weekly,6,3,6,7,5,5,2,5,1,7,1,5,5,8,9,6,7,people_understand_better,4,4,3,2,3,AI has made me feel more productive and like a more confident worker. It has allowed me to produce a lot more work more quickly so I feel like someone with a stronger work ethic overall.,If there was no negative stigma from people at work about the use of AI as being a shortcut.,pass,education_training,intermediate_experienced,50_249,30_39,26_50,6_10_years,25_34,ca,woman,,
yes,employed_full_time,yes_weekly,6,4,6,6,6,5,2,6,6,7,6,3,6,8,8,9,8,depends_same,5,4,4,4,5,It has rewarded me to spare my time and be more productive.,It will improve my efficiency and effectivity,pass,education_training,manager_team_leader,50_249,30_39,51_75,3_5_years,35_44,uk,woman,,
yes,employed_full_time,yes_occasionally,5,3,5,5,4,5,4,4,3,3,3,4,4,7,5,6,9,people_understand_better,3,4,3,3,3,it hasnt yet,not sure,pass,other,manager_team_leader,2_9,30_39,1_10,more_than_10_years,55_65,uk,woman,Social assistance,
yes,employed_full_time,yes_weekly,6,6,6,7,6,7,6,6,6,5,7,6,5,8,9,8,9,people_understand_better,4,5,4,5,4,Make my work faster,efficient,pass,health_social_care,senior_specialist,50_249,40_49,11_25,3_5_years,18_24,uk,woman,,
yes,employed_full_time,yes_weekly,5,3,5,6,6,6,4,6,3,2,2,4,5,7,8,9,7,depends_same,4,4,4,4,4,"I don't think it has changed the sense of who I am, AI just enhances what I do and increases my productivity.","Again, I'm not sure, it hasn't really changed my identity and purpose and I don't see how it would be able to.",pass,marketing_advertising_communications,intermediate_experienced,10_49,30_39,1_10,6_10_years,35_44,uk,woman,,
yes,self_employed_freelance,yes_daily,4,2,6,6,5,4,5,6,3,4,3,3,4,6,6,7,6,people_understand_better,4,4,3,2,4,sometimes it makes me feel confident because i can use it for certain information and gets me answers right away,being fully incooperated without one feeling they are cheating,pass,professional_scientific_technical_services,intermediate_experienced,just_me,10_19,26_50,3_5_years,55_65,ca,woman,,
yes,employed_full_time,yes_weekly,1,3,5,7,7,7,4,7,1,4,1,5,6,2,5,0,10,depends_same,3,3,1,2,1,it hasn't as i just feel its an extra tool to help me duble check/be more efficient at my job,unsure,pass,government_public_administration,intermediate_experienced,5000_or_more,30_39,1_10,1_2_years,25_34,uk,woman,,
yes,employed_full_time,yes_daily,3,4,5,4,5,5,5,4,5,6,3,5,5,3,4,4,4,people_understand_better,3,2,3,3,2,Not really I still do my own research so it's a good research assistant,Nothing,pass,finance_banking_insurance,senior_specialist,1000_4999,40_49,11_25,3_5_years,25_34,uk,man,,
yes,employed_full_time,yes_daily,5,3,5,5,5,5,4,5,3,3,2,2,5,7,7,7,7,people_understand_better,4,4,4,4,4,"It doesnt impact who I am. My values remain consistent, Adoption, usage or proliferation of new tools, services and capabilities dont effect this","I dont know, as I dont feel my identity would be impacted by this type of thing",pass,information_technology_software,manager_team_leader,5000_or_more,30_39,11_25,1_2_years,35_44,ie,man,,
yes,employed_full_time,yes_daily,6,5,5,5,5,4,4,4,6,4,4,2,5,6,5,5,7,ai_understands_better,3,4,2,1,1,I think it makes me think more broadly and has helped me shape information better,being able to analyze lots of data for me to make life easier.,pass,professional_scientific_technical_services,senior_specialist,5000_or_more,40_49,11_25,3_5_years,35_44,ca,man,,
yes,employed_full_time,yes_daily,5,5,6,5,5,6,5,5,3,6,2,3,3,6,6,5,7,people_understand_better,3,2,3,2,1,"It has made me question my value and the value I bring to my job, as well as what is the human purpose - or my purpose as a. human",Bring my skills to the fore rather than generic capabilities,pass,marketing_advertising_communications,manager_team_leader,2_9,30_39,51_75,1_2_years,45_54,uk,man,,
yes,employed_full_time,yes_weekly,6,2,5,7,7,2,1,5,2,5,1,5,7,8,9,9,9,people_understand_better,5,4,4,4,4,"I don't know if it necessarily has changed who I am, I use it to help with my quarterly reports a lot. So, I'll write a draft and then run it through an AI and I think it's helped to bring out the value of my work.","If AI could examine my stats and create a narrative out of them, that would help with humanising the work I do and showing the real impact.",pass,government_public_administration,manager_team_leader,5000_or_more,30_39,1_10,6_11_months,25_34,uk,man,,
yes,employed_full_time,no_never,5,7,7,4,3,4,7,4,1,1,1,4,1,4,5,6,5,depends_same,1,4,1,2,1,Collaborator,"I still feel responsible, purposeful and uniquely valuable.",pass,media_arts_entertainment,intermediate_experienced,2_9,40_49,0_none,more_than_10_years,55_65,au,man,,
yes,employed_full_time,yes_weekly,7,2,7,7,5,7,1,3,1,3,1,1,5,10,10,8,9,depends_same,3,4,3,4,5,Its made me articulate things better. I have the ideas and the thoughts. AI helps me make it more coherent to present to others,Nothing. Im happy with how I use it,pass,nonprofit_community_charity_work,director_executive,50_249,30_39,11_25,6_10_years,45_54,uk,woman,,
yes,employed_full_time,yes_daily,6,3,6,6,7,5,3,5,2,3,2,2,6,8,9,3,8,people_understand_better,4,4,2,1,3,No not really. It has helped me increase my productivity and learn new things but hasn't made me think inwards at all about myself,If it was able to more mirror myself and make its replies/opinions feel more like they came from me.,pass,professional_scientific_technical_services,manager_team_leader,1000_4999,30_39,11_25,1_2_years,35_44,uk,man,,
yes,employed_full_time,yes_daily,5,7,5,6,7,4,7,2,5,5,6,7,5,6,4,5,6,people_understand_better,4,3,1,2,2,I feel that I am required to think less and use AI to speed up my work. It makes me feel less important.,If it reviewed work rather than doing it.,pass,real_estate_property_services,intermediate_experienced,250_999,30_39,11_25,3_5_years,25_34,uk,woman,,
yes,employed_full_time,yes_occasionally,6,2,6,6,6,6,1,4,4,2,2,5,5,9,9,7,8,people_understand_better,4,4,4,4,4,No,None,pass,professional_scientific_technical_services,intermediate_experienced,10_49,30_39,1_10,3_5_years,25_34,uk,woman,,
yes,self_employed_freelance,no_never,3,2,3,4,4,4,2,2,4,2,2,4,4,4,6,5,8,people_understand_better,2,3,1,1,1,"It has not changed my sense of who I am at work at all, because my work is not directly impacted by AI","None, j would make no change",pass,hospitality_food_tourism,other,just_me,10_19,0_none,6_10_years,45_54,ca,man,,Self-employed freelancer
yes,employed_full_time,yes_daily,6,1,6,7,6,4,5,6,2,5,5,2,4,8,9,8,9,people_understand_better,4,2,3,3,3,"It hasn't, I just became more independent and productive.",Maybe if AI evaluates me as a being based on my past prompts,pass,government_public_administration,intermediate_experienced,1000_4999,30_39,26_50,1_2_years,25_34,uk,man,,
yes,employed_full_time,yes_occasionally,4,7,1,1,1,6,7,1,4,6,1,1,2,0,8,8,7,people_understand_better,3,3,3,3,4,AI while hasn't changed the sense of who I am it has made me so scared and worried that AI is going to replace me at work .,Not using or relaying on AI at all,pass,government_public_administration,intermediate_experienced,1000_4999,30_39,1_10,6_10_years,55_65,uk,woman,,
yes,employed_full_time,yes_daily,7,1,7,7,7,7,6,7,1,6,2,1,7,10,10,4,6,people_understand_better,4,2,3,1,4,it hasnt at all it simply aids me in my role,not sure,pass,manufacturing_production,manager_team_leader,5000_or_more,40_49,11_25,more_than_10_years,45_54,uk,man,,
yes,employed_part_time,yes_weekly,4,4,5,3,4,2,5,5,4,4,4,4,3,6,6,6,5,people_understand_better,2,2,3,4,2,Not really changed.,That there was no ethical issue by using AI,pass,education_training,intermediate_experienced,1000_4999,20_29,1_10,3_5_years,45_54,uk,man,,
yes,employed_full_time,yes_occasionally,7,1,7,7,6,7,1,1,1,1,1,4,3,9,10,8,8,people_understand_better,3,3,3,3,4,"The use of ai is so small and basically irrelevant to me, that I don't believe that it has changed anything, I barely notice AI's use in work, it is just a small automated addition onto our work consoles that is out of our control",I don't think Ai could improve my purpose at all,pass,health_social_care,entry_level,250_999,30_39,1_10,more_than_10_years,55_65,uk,woman,,
yes,employed_part_time,yes_occasionally,3,2,6,3,5,5,2,5,4,2,5,3,5,8,8,7,8,depends_same,3,4,3,2,3,"As a tour guide, AI made me see my job differently. It can give facts quickly, but I bring the human touch. My role is to share stories, build connections, and create real experiences that machines can't.","If AI helped me understand travelers' interests better, I could make tours more personal and meaningful. That would make me feel more useful and connected in my job.",pass,hospitality_food_tourism,intermediate_experienced,10_49,20_29,1_10,3_5_years,35_44,au,man,,
yes,employed_full_time,yes_daily,4,1,6,7,6,7,4,7,1,1,1,1,7,6,9,6,9,people_understand_better,5,5,5,5,4,it has helped with complex reading and understanding of a particular subject,Have a corporate account and training with a dedicated AI tool.,pass,manufacturing_production,senior_specialist,250_999,30_39,0_none,6_10_years,45_54,au,man,,
yes,self_employed_freelance,yes_weekly,4,2,7,5,5,5,2,4,1,6,4,4,5,5,7,8,7,people_understand_better,4,4,4,3,5,I dont see how Ai has changed anything about the sense of who I am at work.,A clear and valid stance that AI is now part of everyday life at work and home.,pass,professional_scientific_technical_services,owner_founder,just_me,30_39,11_25,1_2_years,45_54,us,woman,,
yes,employed_full_time,yes_daily,7,1,6,7,5,7,1,4,4,6,4,6,3,10,10,10,10,people_understand_better,5,5,5,5,5,It's made me more aware of my skills of what I do.,Speed,pass,marketing_advertising_communications,intermediate_experienced,5000_or_more,30_39,26_50,6_10_years,35_44,uk,man,,
yes,employed_full_time,yes_daily,5,6,6,6,6,6,6,6,6,6,6,7,6,7,8,7,7,ai_understands_better,4,4,4,3,4,It has given me clarity in topics that wouldn't have understood if not for it. I love that it make the necessary information easily available and that it's able to teach me.,"Sometimes it repeats itself or gets information mixed up. If it could think more clearly even during information overload, that would help me better. Since, I deal with complex problems at work.",pass,retail_sales_consumer_services,manager_team_leader,2_9,40_49,1_10,1_2_years,25_34,ca,woman,,
yes,self_employed_freelance,yes_occasionally,5,5,6,5,6,4,5,2,4,2,2,6,4,8,8,7,8,people_understand_better,4,4,3,1,3,"It has not changed much at all yet, there is a little bit of automation but at a very basic level",Increased use of AI to manage processes,pass,finance_banking_insurance,owner_founder,just_me,10_19,1_10,1_2_years,55_65,uk,man,,
yes,employed_full_time,yes_weekly,6,4,4,6,4,6,6,6,4,4,2,3,6,7,7,6,7,people_understand_better,2,3,3,3,3,It has made work more efficient - almost too efficient,"If it could be tailored to you specifically, matching yourself and character",pass,media_arts_entertainment,manager_team_leader,50_249,30_39,11_25,6_10_years,25_34,uk,man,,
yes,employed_part_time,no_never,5,7,5,2,4,7,7,1,1,5,4,3,2,9,9,8,7,people_understand_better,1,1,1,1,1,I like that I can use it for day to day life things like asking about recipes or calories etc,I'm currently new to my current role and it would be good if it could make a check list personal to my job of all the things I need to do,pass,health_social_care,entry_level,5000_or_more,10_19,1_10,less_than_6_months,35_44,uk,woman,,
yes,employed_full_time,yes_daily,7,1,7,7,7,1,1,7,1,6,1,1,7,10,10,8,7,people_understand_better,4,5,4,4,4,AI has made me more efficient,Gave me more control over how AI supports emotional and relational aspects of my work,pass,health_social_care,manager_team_leader,50_249,40_49,11_25,more_than_10_years,35_44,uk,woman,,
